_id,net_manager,purchase_area,street,zipcode_from,zipcode_to,city,num_connections,delivery_perc,perc_of_active_connections,type_conn_perc,type_of_connection,annual_consume,annual_consume_lowtarif_perc,smartmeter_perc,company,year,STANDAARDDEVIATIE,%Defintieve aansl (NRM)
675aa285ecdb0d09ed995ae6,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,De Stoevelaar,7471AC,7471AC,GOOR,16,100.0,100.0,100.0,1x35,1315.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995aeb,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kerkstraat,7471AK,7471AK,GOOR,20,95.0,85.0,35.0,1x25,7193.0,95.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995af0,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AS,7471AS,GOOR,29,96.55,100.0,55.0,1x35,3305.0,93.1,0.0,coteq,2018,,
675aa285ecdb0d09ed995af2,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Zonnebloemstraat,7471AV,7471AV,GOOR,21,100.0,100.0,95.0,1x35,3186.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995af9,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Iependijk,7471BE,7471BE,GOOR,24,95.83,100.0,46.0,1x35,5457.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995afd,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Grotestraat,7471BL,7471BL,GOOR,29,100.0,100.0,45.0,3x25,11797.0,93.1,0.0,coteq,2018,,
675aa285ecdb0d09ed995b06,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wijnkamp,7471CA,7471CA,GOOR,15,100.0,100.0,33.0,1x35,8266.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b0e,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Molenstraat,7471CM,7471CM,GOOR,15,86.67,100.0,60.0,1x35,3347.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b11,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Bleekstraat,7471CS,7471CS,GOOR,11,100.0,100.0,45.0,1x25,4283.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b12,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Pastoriestraat,7471CT,7471CT,GOOR,25,100.0,100.0,56.0,1x35,2255.0,96.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b18,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DC,7471DD,GOOR,22,81.82,100.0,36.0,1x35,4590.0,95.45,0.0,coteq,2018,,
675aa285ecdb0d09ed995b1b,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Laarstraat,7471DH,7471DJ,GOOR,21,95.24,100.0,48.0,1x35,3111.0,95.24,0.0,coteq,2018,,
675aa285ecdb0d09ed995b1d,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DL,7471DL,GOOR,38,92.11,100.0,76.0,1x35,4622.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b1e,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Herman Heijermansstraat,7471DM,7471DM,GOOR,22,100.0,100.0,50.0,1x35,2274.0,95.45,0.0,coteq,2018,,
675aa285ecdb0d09ed995b1f,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Goeman Borgesiusstraat,7471DN,7471DN,GOOR,16,100.0,100.0,69.0,1x25,2220.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b21,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,van Kollaan,7471DR,7471DR,GOOR,21,95.24,100.0,48.0,1x25,3037.0,90.48,0.0,coteq,2018,,
675aa285ecdb0d09ed995b23,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Roerdompstraat,7471DT,7471DT,GOOR,16,93.75,100.0,75.0,1x25,2563.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b27,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Kwartelstraat,7471EB,7471EB,GOOR,27,100.0,100.0,52.0,1x25,1771.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b28,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Guido Gezellehof,7471EC,7471ED,GOOR,23,78.26,100.0,57.0,1x25,2347.0,91.3,0.0,coteq,2018,,
675aa285ecdb0d09ed995b2b,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Putterstraat,7471EH,7471EH,GOOR,17,88.24,100.0,47.0,1x25,2351.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b32,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471ER,7471ER,GOOR,13,84.62,84.62,23.0,3x63,11646.0,76.92,0.0,coteq,2018,,
675aa285ecdb0d09ed995b33,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gruttostraat,7471ES,7471ES,GOOR,20,85.0,100.0,80.0,1x35,3139.0,95.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b34,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Holtdijk,7471ET,7471EV,GOOR,18,88.89,88.89,39.0,3x25,13104.0,88.89,0.0,coteq,2018,,
675aa285ecdb0d09ed995b36,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Lijsterstraat,7471EX,7471EX,GOOR,14,100.0,100.0,57.0,1x25,2779.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b39,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Merelstraat,7471GB,7471GB,GOOR,20,100.0,100.0,60.0,1x25,3014.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b3e,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Fazantenstraat,7471GL,7471GM,GOOR,18,77.78,100.0,56.0,3x25,3157.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b4b,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Wielewaalstraat,7471HD,7471HD,GOOR,24,100.0,100.0,54.0,1x25,2315.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b4c,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Rietzangerstraat,7471HE,7471HE,GOOR,12,83.33,100.0,50.0,1x25,2886.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b4e,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Zwaluwstraat,7471HH,7471HH,GOOR,21,95.24,100.0,48.0,1x25,2898.0,95.24,0.0,coteq,2018,,
675aa285ecdb0d09ed995b50,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Spechtstraat,7471HK,7471HK,GOOR,19,100.0,100.0,47.0,1x35,3310.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b52,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Pluvierstraat,7471HM,7471HM,GOOR,14,100.0,100.0,64.0,1x25,4729.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b5c,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Markeloseweg,7471JD,7471JD,GOOR,11,100.0,100.0,45.0,3x25,3701.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b5d,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Markeloseweg,7471JE,7471JE,GOOR,24,100.0,100.0,46.0,1x35,2703.0,91.67,0.0,coteq,2018,,
675aa285ecdb0d09ed995b64,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Leliestraat,7471JP,7471JP,GOOR,11,100.0,100.0,45.0,1x35,2962.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b69,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Dr. Schaepmanstraat,7471JX,7471JZ,GOOR,15,100.0,66.67,93.0,1x35,3404.0,86.67,0.0,coteq,2018,,
675aa285ecdb0d09ed995b74,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Deldensestraat,7471KW,7471KW,GOOR,21,90.48,100.0,48.0,3x25,6298.0,95.24,0.0,coteq,2018,,
675aa285ecdb0d09ed995b78,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gondalaan,7471LD,7471LD,GOOR,24,91.67,100.0,50.0,1x25,2926.0,100.0,0.0,coteq,2018,,
675aa285ecdb0d09ed995b79,Coteq Netbeheer BV,Netbeheerder Centraal Overijssel B.V.,Gondalaan,7471LE,7471LE,GOOR,13,100.0,100.0,54.0,1x25,2993.0,92.31,0.0,coteq,2018,,
